cadmium;copper;lead;zinc;elev;dist;om;ffreq;soil;lime;landuse;dist.m;lat;long
11,7;85;299;1022;7,909;0,00135803;13,6;1;1;1;Ah;50;50,99156;5,758539
8,6;81;277;1141;6,983;0,0122243;14;1;1;1;Ah;30;50,99109;5,757866
6,5;68;199;640;7,8;0,103029;13;1;1;1;Ah;150;50,99089;5,759858
2,6;81;116;257;7,655;0,190094;8;1;2;0;Ga;270;50,99041;5,761748
2,8;48;117;269;7,48;0,27709;8,7;1;2;0;Ah;380;50,98902;5,761865
3;61;137;281;7,791;0,364067;7,8;1;2;0;Ga;470;50,98839;5,763042
3,2;31;132;346;8,217;0,190094;9,2;1;2;0;Ah;240;50,98939;5,759846
2,8;29;150;406;8,49;0,0921516;9,5;1;1;0;Ab;120;50,98933;5,75788
2,4;37;133;347;8,668;0,184614;10,6;1;1;0;Ab;240;50,98815;5,75834
1,6;24;80;183;9,049;0,309702;6,3;1;2;0;W;420;50,98757;5,760785
1,4;25;86;189;9,015;0,315116;6,4;1;2;0;Fh;400;50,9871;5,760198
1,8;25;97;251;9,073;0,228123;9;1;1;0;Ag;300;50,98635;5,757927
11,2;93;285;1096;7,32;0;15,4;1;1;1;W;20;50,98912;5,755699
2,5;31;183;504;8,815;0,113932;8,4;1;1;0;Ah;130;50,98834;5,757046
2;27;130;326;8,937;0,168336;9,1;1;1;0;Ah;220;50,98752;5,757637
9,5;86;240;1032;7,702;0;16,2;1;1;1;W;10;50,98829;5,755066
7;74;133;606;7,16;0,0122243;16;1;1;1;W;10;50,98702;5,754102
7,1;69;148;711;7,1;0,0122243;16;1;1;1;W;10;50,98583;5,75311
8,7;69;207;735;7,02;0;13,7;1;1;1;W;10;50,98471;5,752118
12,9;95;284;1052;6,86;0;14,8;1;1;1;NA;10;50,98346;5,751111
5,5;53;194;673;8,908;0,0703468;10,2;1;1;1;Am;80;50,98346;5,75235
2,8;35;123;402;8,99;0,0975136;7,2;1;1;1;Am;140;50,98354;5,753234
2,9;35;110;343;8,83;0,113932;7,2;1;1;1;Ag;160;50,98306;5,75323
1,7;24;85;218;9,02;0,342321;7;1;2;0;Ah;440;50,98539;5,759643
1,4;26;75;200;8,976;0,385804;6,9;1;2;0;W;490;50,98447;5,75955
1,5;22;76;194;8,973;0,429289;6,3;1;2;0;W;530;50,98407;5,759831
1,3;27;73;207;8,507;0,315116;5,6;1;2;0;Ab;400;50,98407;5,757567
1,3;24;67;180;8,743;0,320574;4,4;1;2;0;Ag;400;50,98326;5,757062
1,8;22;87;240;8,973;0,249863;5,3;1;2;0;Ah;330;50,98385;5,756255
1,5;21;65;180;9,043;0,489064;4,8;1;2;0;Ag;630;50,98557;5,762478
1,3;29;78;208;8,688;0,472778;2,6;1;2;0;B;570;50,9822;5,759332
1,3;21;64;198;8,727;0,287957;1;1;2;0;Ag;390;50,98148;5,755695
2,1;27;77;250;8,328;0,271622;2,4;1;2;0;Ah;360;50,98114;5,754995
1,2;26;80;192;7,971;0,385807;1,9;1;2;0;B;500;50,98067;5,756771
1,6;27;82;213;7,809;0,418417;3,1;1;2;0;B;550;50,97994;5,756794
3;32;97;321;6,986;0,244474;1,6;1;2;0;Ab;340;50,98006;5,753292
5,8;50;166;569;7,756;0,135709;3,5;1;2;0;Ab;210;50,9811;5,752189
7,9;67;217;833;7,784;0,0484965;8,1;1;1;1;Am;60;50,98194;5,750743
8,1;77;219;906;7;0;7,9;1;1;1;W;10;50,9823;5,750006
14,1;108;405;1454;6,92;0,00135803;9,5;1;1;1;W;20;50,98139;5,748646
2,4;32;102;298;7,516;0,135709;1,4;1;2;0;Am;170;50,98007;5,750216
1,2;21;48;167;8,18;0,26622;NA;1;2;0;Ga;320;50,97884;5,75116
1,7;22;65;176;8,694;0,211843;NA;1;2;0;W;260;50,97868;5,749593
1,3;21;62;258;9,28;0,320572;2;1;2;0;Ah;360;50,97739;5,748999
4,2;51;281;746;7,94;0,081222;5,1;1;2;0;Ah;100;50,9798;5,748235
4,3;50;294;746;6,36;0,190086;5,3;1;2;0;Am;200;50,97852;5,747328
3,1;38;211;464;7,78;0,287941;4,5;1;2;0;Ah;320;50,97724;5,747189
1,7;26;135;365;8,18;0,423826;4,9;1;2;0;Ah;480;50,97586;5,747164
1,7;24;112;282;9,42;0,554289;4,5;1;2;0;Bw;660;50,97448;5,746983
2,1;32;162;375;8,867;0,603225;5,5;1;2;0;Bw;690;50,97344;5,745964
1,7;24;94;222;8,292;0,614071;3,4;1;2;0;Ab;710;50,97309;5,74505
8,2;47;191;812;8,06;0,00135803;11,1;1;1;1;Ah;10;50,98027;5,746558
17;128;405;1548;7,98;0;12,3;1;1;1;W;10;50,97979;5,744646
12;117;654;1839;7,9;0,0054321;16,5;1;1;1;W;10;50,97942;5,742792
9,4;104;482;1528;7,74;0,0054321;13,9;1;1;1;W;10;50,97908;5,740697
8,2;76;276;933;7,552;0,0054321;8,1;1;1;1;W;20;50,97859;5,738714
2,6;36;180;432;7,76;0,146578;3,1;1;1;0;Fw;200;50,97745;5,7402
3,5;34;207;550;6,74;0,135684;5,8;1;1;0;Fw;140;50,97815;5,741772
10,9;90;541;1571;6,68;0,0703333;10,2;1;1;1;Fw;70;50,97904;5,744598
7,3;80;310;1190;7,4;0,0484831;12;1;1;1;W;20;50,97767;5,737525
9,4;78;210;907;7,44;0,0054321;14,1;1;1;1;W;10;50,97657;5,736406
8,3;77;158;761;7,36;0,0054321;14,5;1;1;1;Fw;10;50,97508;5,735953
7;65;141;659;7,2;0,0316663;14,8;1;1;1;W;20;50,97385;5,735859
6,8;66;144;643;7,22;0,0122243;13,3;1;1;1;Ah;10;50,9726;5,734781
7,4;72;181;801;7,36;0,0122243;15,2;1;1;1;W;20;50,97146;5,733634
6,6;75;173;784;5,18;0,0373395;11,4;1;1;1;W;20;50,97054;5,732502
7,8;75;399;1060;5,8;0,211846;9;1;1;0;Ah;270;50,96928;5,735554
0,7;22;45;119;7,64;0,451037;3,6;1;1;1;Fw;560;50,96755;5,738701
3,4;55;325;778;6,32;0,575877;6,9;1;1;0;Bw;750;50,96636;5,740969
3,9;47;268;703;5,76;0,0756869;7;1;1;1;Ab;80;50,96777;5,730844
3,5;46;252;676;6,48;0,12481;6,2;1;1;1;Ab;130;50,96698;5,730668
4,7;55;315;793;6,48;0,103024;6,5;1;1;0;W;110;50,96696;5,729771
3,9;49;260;685;6,32;0,157469;5,7;1;1;0;W;200;50,96573;5,728936
3,1;39;237;593;6,32;0,200976;7;1;1;1;Ah;260;50,966;5,730404
2,9;45;228;549;6,16;0,200976;7,3;1;1;0;W;270;50,96499;5,729286
3,9;48;241;680;6,56;0,26622;8,2;1;1;0;W;320;50,96491;5,730183
2,7;36;201;539;6,9;0,298835;4,3;1;1;0;Ah;360;50,96377;5,729647
2,5;36;204;560;7,54;0,0812247;4,4;1;1;1;Am;80;50,96519;5,726128
5,6;68;429;1136;6,42;0,070355;8,2;1;1;1;W;100;50,9662;5,727587
9,4;88;462;1383;6,28;0,0122243;8,5;1;1;1;W;70;50,9675;5,728579
10,8;85;333;1161;6,34;0;9,6;1;1;1;W;20;50,96822;5,729937
18,1;76;464;1672;7,307;0,0537723;17;1;1;1;W;50;50,96232;5,745194
6,3;63;159;765;5,7;0,0593662;12,8;1;1;1;W;80;50,96975;5,73187
2,1;32;116;279;7,72;0,211843;5,9;1;2;0;W;290;50,98799;5,759165
1,8;25;81;241;7,932;0,12481;2,9;2;2;1;Ah;160;50,97089;5,735623
2,2;27;131;317;7,82;0,12481;4,5;2;1;0;W;160;50,97196;5,736841
2,8;36;216;545;8,575;0,0921516;10,7;2;1;0;W;140;50,96704;5,729159
2,4;41;145;505;8,536;0,113941;9,4;2;1;0;W;150;50,96586;5,728168
2,6;33;163;420;8,504;0,179216;9;2;1;0;Ah;220;50,96384;5,727043
1,8;27;129;332;8,659;0,233596;7;2;1;0;Am;280;50,96234;5,726007
2;38;148;400;7,633;0,336861;6,5;2;1;1;Am;450;50,96273;5,729227
2,7;37;214;553;8,538;0,070355;9,4;2;1;1;Am;70;50,96286;5,723193
2,7;34;226;577;7,68;0,0593662;10,2;2;1;0;Am;70;50,96421;5,724569
0,9;19;54;155;7,564;0,255341;6,4;2;1;0;W;340;50,96137;5,73659
0,9;22;70;224;7,76;0,364067;7,6;2;1;0;W;470;50,96079;5,733084
0,4;26;73;180;7,653;0,429295;7;2;1;0;Am;630;50,96427;5,73459
0,8;25;87;226;7,951;0,380328;5,6;2;1;0;Am;460;50,96606;5,735415
0,4;22;76;186;8,176;0,249874;6,5;2;1;0;Am;320;50,96634;5,733012
0,4;24;81;198;8,468;0,266212;6,6;2;1;0;Ah;320;50,96557;5,731397
0,4;18;68;187;8,41;0,451037;5,9;2;1;0;W;540;50,96276;5,731747
0,8;23;66;199;7,61;0,30971;6,5;2;1;0;W;420;50,96328;5,737615
0,4;22;49;157;7,792;0,293359;6,4;2;1;0;SPO;380;50,96401;5,739955
0,4;23;63;203;8,76;0,532351;7,2;2;2;0;W;500;50,9661;5,742789
0,4;23;48;143;9,879;0,619513;6,6;2;3;0;Am;760;50,9698;5,744056
0,2;23;51;136;9,097;0,684725;4,3;2;2;0;Ah;750;50,97161;5,745423
0,2;18;50;117;9,095;0,809742;5,3;2;3;0;Fw;1000;50,97237;5,749543
0,4;20;39;113;9,717;0,880389;4,1;2;3;0;Ah;860;50,96954;5,74777
0,2;22;48;130;9,924;0,749591;6,1;2;3;0;Ah;680;50,96779;5,747016
0,2;27;64;192;9,404;0,575752;7,5;2;3;0;Fw;500;50,96636;5,744699
0,4;25;84;240;10,52;0,581484;8,8;2;3;0;STA;650;50,96735;5,74139
0,2;30;67;221;8,84;0,49452;5,7;2;3;0;DEN;630;50,96744;5,739867
0,2;23;49;140;8,472;0,32058;6,1;2;3;0;Fw;410;50,9695;5,738217
0,2;24;48;128;9,634;0,336851;7,1;2;3;0;Ah;390;50,97035;5,739277
0,2;21;56;166;9,206;0,249852;4,1;2;2;0;Ah;310;50,97212;5,739091
0,2;24;65;191;8,47;0,0756869;6;2;1;0;Ah;70;50,97196;5,735232
0,2;21;84;232;8,463;0,0756869;6,6;2;1;0;W;70;50,97324;5,736352
0,2;23;75;203;9,691;0,162853;6,8;2;1;1;STA;150;50,97472;5,738072
3,7;53;250;722;8,704;0,0974916;9,1;2;2;0;Bw;80;50,96243;5,747615
0,2;33;81;210;9,42;0,440142;5,9;2;2;0;Ah;450;50,97566;5,745454
0,2;22;72;198;9,573;0,4619;4,9;2;2;0;Aa;530;50,97461;5,743553
0,2;23;86;139;9,555;0,222701;7,1;2;1;0;W;240;50,97641;5,740263
0,2;25;94;253;8,779;0,103024;8,1;2;1;1;Tv;70;50,97674;5,738059
1,2;30;244;703;8,54;0,0921353;8,3;2;1;0;Fw;70;50,97841;5,741019
2,4;47;297;832;8,809;0,0484884;10;2;1;0;Ah;60;50,97978;5,746953
0,2;31;96;262;9,523;0,168331;5,9;2;1;0;Ah;190;50,97803;5,74469
0,2;20;56;142;9,811;0,38581;5;2;2;0;Ah;450;50,97663;5,749733
0,2;16;49;119;9,604;0,489064;4,5;2;2;0;Am;550;50,97551;5,749952
0,2;17;50;152;9,732;0,57602;5,4;2;2;0;Am;650;50,97442;5,748079
0,4;26;148;415;9,518;0,0812194;2,3;2;1;0;Am;100;50,98712;5,755512
1,6;34;162;474;9,72;0,0373369;7,5;2;1;0;W;170;50,98502;5,753189
0,8;18;37;126;9,036;0,771698;4,6;2;3;1;Ah;860;50,96957;5,745962
1,2;23;80;210;9,528;0,336829;5,8;2;2;0;W;410;50,97643;5,745617
0,2;20;80;220;9,155;0,228123;4,4;3;1;0;Aa;290;50,98494;5,756364
0,2;14;49;133;10,08;0,597761;4,4;3;2;0;Am;680;50,97436;5,749787
0,8;46;42;141;9,97;0,44558;4,5;3;2;0;Am;540;50,97106;5,741931
1;29;48;158;10,136;0,396675;5,2;3;2;0;Am;480;50,97032;5,740573
0,8;19;41;129;10,32;0,581478;4,6;3;3;0;W;720;50,96876;5,742966
1,2;31;73;206;9,041;0,287966;6,9;3;1;0;W;380;50,96438;5,730535
2;27;146;451;7,86;0,233596;7;3;1;0;W;310;50,96423;5,729309
1,5;29;95;296;8,741;0,364067;5,4;3;1;0;Ah;430;50,96308;5,730027
1,1;22;72;189;7,822;0,331454;6,2;3;1;0;Ah;370;50,9596;5,73215
0,8;20;51;154;7,78;0,211846;5;3;1;0;Fw;290;50,95982;5,735283
0,8;20;54;169;8,121;0,103029;5,1;3;1;0;W;150;50,95863;5,736612
2,1;29;136;403;8,231;0,070355;8,1;3;1;0;Bw;70;50,95744;5,735108
2,5;38;170;471;8,351;0,146576;8;3;1;0;Bw;220;50,95801;5,733576
3,8;39;179;612;7,3;0,0537723;8,8;3;1;0;W;80;50,95661;5,732256
3,2;35;200;601;7,536;0,119286;9,3;3;1;0;W;120;50,95679;5,729112
3,1;42;258;783;7,706;0,0921435;8,4;3;1;0;Ah;120;50,9576;5,72573
1,5;24;93;258;8,07;0,249863;7,7;3;1;0;Am;260;50,9582;5,730702
1,2;20;68;214;8,226;0,37494;5,7;3;1;0;Ah;440;50,95993;5,72922
0,8;20;49;166;8,128;0,423837;4,7;3;1;0;Am;540;50,96082;5,731419
3,1;39;173;496;8,577;0,423837;9,1;3;1;0;Ah;520;50,96181;5,730017
2,1;31;119;342;8,429;0,27709;6,5;3;1;0;Ah;350;50,96199;5,727029
0,8;21;51;162;9,406;0,358606;5,7;3;1;0;W;460;50,9626;5,735446
2,7;27;124;375;8,261;0,0122243;5,5;3;3;0;W;40;50,96083;5,751958